	hamlet#23990;antonyandcleopatra#23809;cymbeline#23615;winterstale#21652;othello#21411;coriolanus#20369;troilusandcressida#19269;kinghenryviii#19071;kinglear#18796;kingrichardiii#16267;measureforemeasure#15665;juliuscaesar#15268;romeoandjuliet#14489;loveslabourslost#14211;allswellthatendswell#14163;macbeth#13975;2kinghenryiv#13950;merrywivesofwindsor#13452;1kinghenryiv#13055;merchantofvenice#12924;twelfthnight#12548;tempest#12544;tamingoftheshrew#12473;kinghenryv#12251;timonofathens#11960;kingjohn#11356;muchadoaboutnothing#11194;asyoulikeit#10617;2kinghenryvi#10594;periclesprinceoftyre#10315;3kinghenryvi#10298;twogentlemenofverona#10263;midsummersnightsdream#10188;titusandronicus#9805;kingrichardii#9673;1kinghenryvi#8807;comedyoferrors#6679;sonnets#3039;rapeoflucrece#2160;venusandadonis#1789;glossary#1320;various#666;loverscomplaint#442
ANDRONICI	titusandronicus#1
ANDRONICUS	titusandronicus#202
ANGEL	glossary#1
ANGELO	measureforemeasure#97;comedyoferrors#36
ANGUS	macbeth#11
ANIGHT	glossary#1
ANN	merrywivesofwindsor#1
ANNE	kingrichardiii#59;kinghenryviii#30;merrywivesofwindsor#27
ANOTHER	kingrichardiii#1
ANSWER	glossary#1;various#1
ANTENOR	troilusandcressida#5
ANTHONY	kinghenryviii#1
ANTHROPOPHAGINIAN	glossary#1
ANTICK	glossary#1
ANTIGONUS	winterstale#23
ANTIOCHUS	periclesprinceoftyre#18
ANTIPHOLUS	comedyoferrors#195
ANTONIO	tempest#69;merchantofvenice#56;muchadoaboutnothing#32;twelfthnight#32;twogentlemenofverona#15
ANTONIUS	juliuscaesar#1
ANTONY	antonyandcleopatra#288;juliuscaesar#65
ANTRE	glossary#1
APEMANTUS	timonofathens#109
APPARENT	glossary#1
APPEAL	glossary#2
APPEARED	glossary#1
APPLE	glossary#1
APPOINTMENT	glossary#1
APPREHENSION	glossary#1
APPREHENSIVE	glossary#1
APPROBATION	glossary#1
APPROOF	glossary#1
APPROVE	glossary#1
APPROVER	glossary#1
ARCH	glossary#1
ARCHBISHOP	2kinghenryiv#31;1kinghenryiv#8;kingrichardiii#7;kinghenryv#2
ARCHIBALD	1kinghenryiv#1
ARCHIDAMUS	winterstale#9
ARGAL	glossary#1
ARGENTINE	glossary#1
ARGIER	glossary#1
ARGOSY	glossary#1
ARGUMENT	glossary#1;rapeoflucrece#1
ARIEL	tempest#73
ARMADO	loveslabourslost#111
ARMIGERO	glossary#1
AROINT	glossary#1
ARRAGON	merchantofvenice#8
ARTEMIDORUS	juliuscaesar#9
ARTHUR	kingjohn#32
ARTICULATE	glossary#1
ARVIRAGUS	cymbeline#64
AS	asyoulikeit#24;glossary#1
ASK	glossary#1
ASPECT	glossary#1
ASPERSION	glossary#1
ASSAY	glossary#2
ASSINEGO	glossary#1
ASSUBJUGATE	glossary#1
ASSURANCE	glossary#1
ASSURED	glossary#1
ATHENS	timonofathens#18
ATOMY	glossary#1
ATONE	glossary#1
ATTACH	glossary#1
ATTASKED	glossary#1
ATTEND	glossary#1
ATTENDANT	macbeth#1
ATTENT	glossary#1
ATTORNEY	glossary#2
AUDACIOUS	glossary#1
AUDREY	asyoulikeit#18
AUFIDIUS	coriolanus#61
AUGUR	glossary#1
